Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Verlassene Orte: Enden und Anfänge in einer menschenleeren Welt,Cal Flyn,,,9783751840040,201324322,hardcover,read,2024/05/21,5.0,,Yes,449,,2021,4.20,United Kingdom,female,German,Nonfiction
The Lies of Locke Lamora,Scott Lynch,,Bantam Spectra,9780553588941,643750,paperback,to-read,,,,Yes,722,2007,2006,4.31,United States of America,male,English,Fantasy
Too Like the Lightning,Ada Palmer,,Tor Books,9780765378002,26114545,hardcover,to-read,,,,No,432,2016,2016,3.81,United States of America,female,English,Science Fiction
Queen: The Complete Works,George Purvis,,Titan Books,9780857685513,12154040,paperback,to-read,,,,No,440,2012,2011,4.10,,male,English,Music
The Five Stages of Andrew Brawley,Shaun David Hutchinson,Christine Larsen (Illustrator),Simon & Schuster Books for Young Readers,9781481403115,25785845,paperback,to-read,,,,No,320,2016,2015,3.97,,male,English,Young Adult
If We Were Villains,M.L. Rio,,Flatiron Books,9781250095282,30319086,hardcover,to-read,,,,No,354,2017,2017,4.15,,,English,Mystery
A Great Unrecorded History: A New Life of E. M. Forster,Wendy Moffat,,"Farrar, Straus and Giroux",9780374166786,7128958,hardcover,to-read,,,,No,408,2010,2010,4.21,,female,English,Biography
The Story Keeper,Anna Mazzola,,Tinder Press,9781472234803,37912966,paperback,to-read,,,,No,0,2019,2018,3.83,United Kingdom,female,English,Historical Fiction
Dotter of Her Father's Eyes,"Mary M. Talbot, Bryan Talbot",,Dark Horse Books,9781595828507,12824175,hardcover,to-read,,,,No,89,2012,2008,3.58,United Kingdom,female; male,English,Graphic Novels
Sleepless Nights,David Almond,,Iron Press,9780906228210,841064,paperback,to-read,,,,No,88,1998,1998,3.50,"England, United Kingdom",male,English,N/A
Queer: A Graphic History,Meg-John Barker,Julia Scheele (Illustrator),Icon Books,9781785780714,28957268,paperback,to-read,,,,No,175,2016,2016,3.94,,,English,Nonfiction
Mary Poppins,P.L. Travers,Mary Shepard (Illustrator),Clarion Books,9780152058104,152380,hardcover,to-read,,,,No,209,2006,1934,4.01,,,English,Classics
Everett Ruess: A Vagabond for Beauty,"Vicky Burgess, W. L. Rusho",,Gibbs Smith Publisher,9780879052102,1300326,paperback,to-read,,,,No,228,2007,1973,4.12,,male,English,Nonfiction
Jamrach's Menagerie,Carol Birch,,Doubleday,9780385534406,9593705,hardcover,to-read,,,,No,295,2011,2011,3.58,United Kingdom,female,English,Fiction
The Secret History,Donna Tartt,,Vintage,9781400031702,29044,paperback,to-read,,,,No,559,1992,1992,4.17,United States of America,female,English,Fiction
Never Let Me Go,Kazuo Ishiguro,,Faber and Faber,9780571224142,901871,paperback,to-read,,,,Yes,282,2006,2005,3.85,"Japan, United Kingdom",male,English,Fiction
Reasons to Stay Alive,Matt Haig,,Canongate Books,9781782116820,28513813,paperback,to-read,,,,Yes,259,2016,2015,4.07,United Kingdom,male,English,Nonfiction
The Magus,John Fowles,,Back Bay Books,9780316296199,16286,paperback,to-read,,,,No,656,2001,1965,4.05,,male,English,Fiction
Soundtrack Meiner Kindheit,Jan Josef Liefers,,,9783732490424,,audio,read,2023/02/02,3.0,,No,,,2009,3.94,"Germany, German Democratic Republic",male,German,N/A
I Overcame My Autism and All I Got Was This Lousy Anxiety Disorder: A Memoir,Sarah Kurchak,,,9781662076091,58689198,audio,read,2022/12/28,5.0,,No,,2021,2020,4.19,Canada,female,English,Autistic Spectrum Disorder
"Stitches: A Handbook on Meaning, Hope and Repair",Anne Lamott,,Riverhead Books,9781594632587,18079659,hardcover,to-read,,,,No,112,2013,2013,3.87,United States of America,female,English,Nonfiction
This Alien Shore,C.S. Friedman,,DAW,9780886777999,36162,paperback,to-read,,,,No,564,1999,1998,4.05,,,English,Science Fiction
An Everlasting Meal: Cooking with Economy and Grace,"Tamar Adler, Alice Waters",,Swift Press,9781800751613,60613926,hardcover,to-read,,,,No,,2022,2011,4.19,United States of America,female,English,Food
Annie on My Mind,Nancy Garden,,"Farrar, Straus and Giroux (BYR)",0374404143,595375,paperback,to-read,,,,No,234,1992,1982,4.02,United States of America,female,English,LGBT
The Comfort Book,Matt Haig,,Canongate,9781838853938,58508572,paperback,to-read,,,,Yes,272,2021,2021,4.07,United Kingdom,male,English,Nonfiction
The Science of Good Cooking: Master 50 Simple Concepts to Enjoy a Lifetime of Success in the Kitchen,America's Test Kitchen,,Cook's Illustrated,9781933615981,14636971,hardcover,to-read,,,,No,486,2012,2012,4.44,,,English,Cookbooks
THIS WAS THE REAL LIFE: The Tale of Freddie Mercury,"David Evans, David Minns",,,9781783016358,25379559,,to-read,,,,No,,,,,United Kingdom,male,English,Music
The Unicorn,Iris Murdoch,,Penguin Publishing Group,9780140024760,11235,paperback,to-read,,,,No,270,1987,1963,3.64,"Ireland, United Kingdom",female,English,Fiction
Walden,Henry David Thoreau,John Updike (Contributor),Princeton University Press,9781400824274,10149388,hardcover,to-read,,,,No,376,2010,1854,3.78,United States of America,male,English,Philosophy
Verschwörung auf Castle Cant,K.P. Bath,,Dressler,9783791526737,9254738,hardcover,,,,,Yes,320,2005,2004,3.38,,,German,Fantasy
Die Nacht der tanzenden Sterne,"Beth Webb, Ursula Höfker",,cbj,9783570132180,5973496,hardcover,,,,,Yes,230,2007,2006,3.56,United Kingdom,female,German,Fantasy
Achtsamkeit für Menschen mit Autismus: Ein Ratgeber für Erwachsene mit ASS und deren Betreuer,"Susanne Bonn, Annelies Spek",,Huber,9783456850917,52260766,,,,,,Yes,200,2012,2010,3.67,,,German,Nonfiction
Zauber Der Johannisnacht,Martina Dierks,,Arena,9783401060842,7432116,hardcover,,,,,Yes,285,2007,2007,3.69,Germany,female,German,N/A
Frei von Angst und Schüchternheit,"Gregory P. Markway, Barbara G. Markway",,"Beltz GmbH, Julius",9783407229380,67662237,paperback,,,,,Yes,0,2015,2012,3.43,,female,German,N/A
